early_access,genres_encoded,metascore,año,price
False,1,96,1998,9.99
False,1,96,1998,9.99
False,1,96,1998,9.99
False,10,84,2006,6.99
False,10,84,2006,6.99
False,10,84,2006,6.99
False,10,80,2006,6.99
False,10,80,2006,6.99
False,10,80,2006,6.99
False,1,76,2006,9.99
False,1,76,2006,9.99
False,1,76,2006,9.99
False,1,76,2006,9.99
False,5,76,2006,9.99
False,5,76,2006,9.99
False,5,76,2006,9.99
False,5,76,2006,9.99
False,6,76,2006,9.99
False,6,76,2006,9.99
False,6,76,2006,9.99
False,6,76,2006,9.99
False,1,70,2005,9.99
False,1,70,2005,9.99
False,5,84,2006,9.99
False,5,84,2006,9.99
False,10,84,2006,9.99
False,10,84,2006,9.99
False,3,69,2006,4.99
False,5,69,2006,4.99
False,10,81,2003,4.99
False,2,75,2006,19.99
False,6,75,2006,19.99
False,7,76,2006,9.99
False,7,72,2005,7.49
False,7,72,2005,7.49
False,1,66,2007,14.99
False,1,66,2007,14.99
False,1,66,2007,14.99
False,1,66,2007,14.99
False,2,66,2007,14.99
False,2,66,2007,14.99
False,2,66,2007,14.99
False,2,66,2007,14.99
False,10,67,2006,9.99
False,6,77,2002,4.99
False,1,91,2000,9.99
False,2,91,2000,9.99
False,6,91,2000,9.99
False,10,84,2006,4.99
False,10,80,2003,9.99
False,10,80,2003,9.99
False,10,77,2006,9.99
False,10,77,2006,9.99
False,10,89,1998,4.99
False,1,83,2007,8.99
False,1,83,2007,8.99
False,2,83,2007,8.99
False,2,83,2007,8.99
False,1,66,2006,19.99
False,1,66,2006,19.99
False,1,83,1994,4.99
False,1,83,1994,4.99
False,1,83,1994,4.99
False,1,88,2001,4.99
False,1,88,2001,4.99
False,1,88,2001,4.99
False,1,65,2003,9.99
False,1,65,2003,9.99
False,1,94,2007,4.99
False,1,94,2007,4.99
False,1,94,2007,4.99
False,1,94,2007,4.99
False,10,57,2007,4.99
False,10,57,2007,4.99
False,1,96,2007,19.99
False,1,96,2007,19.99
False,6,96,2007,19.99
False,6,96,2007,19.99
False,10,86,2006,12.99
False,10,86,2006,12.99
False,10,86,2006,12.99
False,10,86,2006,12.99
False,10,87,2006,12.99
False,10,87,2006,12.99
False,10,87,2006,12.99
False,10,92,2004,9.99
False,10,92,2004,9.99
False,10,92,2004,9.99
False,10,79,2006,4.99
False,10,79,2006,4.99
False,1,75,2004,9.99
False,7,81,2003,9.99
False,7,81,2003,9.99
False,1,86,2003,9.99
False,1,82,2006,6.99
False,1,82,2006,6.99
False,2,82,2006,6.99
False,2,82,2006,6.99
False,1,89,2001,9.99
False,10,82,2008,19.99
False,3,84,2007,9.99
False,3,84,2007,9.99
False,3,84,2007,9.99
False,6,66,2007,9.99
False,3,66,2007,9.99
False,2,66,2007,9.99
False,1,58,2008,5.99
False,1,74,2007,7.99
False,1,74,2007,7.99
False,1,74,2007,7.99
False,8,67,2006,9.99
False,1,66,2006,9.99
False,1,69,2007,4.99
False,1,69,2007,4.99
False,2,69,2007,4.99
False,2,69,2007,4.99
False,1,74,2006,2.99
False,1,74,2006,2.99
False,8,81,2006,19.99
False,10,81,2006,19.99
False,1,82,2005,2.99
False,1,82,2005,2.99
False,1,75,2003,14.99
False,3,57,2008,4.99
False,3,57,2008,4.99
False,3,57,2008,4.99
False,5,57,2008,4.99
False,5,57,2008,4.99
False,5,57,2008,4.99
False,1,91,2003,9.99
False,1,89,2004,9.99
False,1,92,2000,9.99
False,1,92,2000,9.99
False,1,85,2006,9.99
False,1,85,2006,9.99
False,8,90,2005,9.99
False,8,90,2005,9.99
False,8,90,2005,9.99
False,1,58,2007,9.99
False,2,58,2007,9.99
False,8,79,2007,9.99
False,8,79,2007,9.99
False,8,86,2006,9.99
False,8,86,2006,9.99
False,8,86,2006,9.99
False,8,86,2006,9.99
False,2,68,2005,9.99
False,2,76,2006,9.99
False,2,70,2008,9.99
False,2,71,2008,9.99
False,6,71,2008,9.99
False,8,60,2007,7.99
False,8,60,2007,7.99
False,8,60,2007,7.99
False,10,60,2007,7.99
False,10,60,2007,7.99
False,10,60,2007,7.99
False,7,79,2008,19.99
False,7,79,2008,19.99
False,7,83,2008,7.99
False,7,83,2008,7.99
False,7,83,2008,7.99
False,10,65,2001,4.99
False,10,65,2001,4.99
False,1,75,2008,9.99
False,1,75,2008,9.99
False,6,75,2008,9.99
False,6,75,2008,9.99
False,1,84,2008,19.99
False,1,91,2007,19.99
False,1,86,2008,9.99
False,1,86,2008,9.99
False,6,86,2008,9.99
False,6,86,2008,9.99
False,5,76,2008,9.99
False,5,76,2008,9.99
False,5,76,2008,9.99
False,10,83,2008,19.99
False,10,83,2008,19.99
False,1,85,2003,9.99
False,1,80,2008,19.99
False,1,80,2008,19.99
False,1,80,2008,19.99
False,2,80,2008,19.99
False,2,80,2008,19.99
False,2,80,2008,19.99
False,6,65,2008,9.99
False,6,65,2008,9.99
False,10,65,2008,9.99
False,10,65,2008,9.99
False,1,79,2008,9.99
False,10,66,2006,9.99
False,1,84,2005,9.99
False,10,70,2007,9.99
